Strategy,Coverage,R_value,Size
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,23,
DV,1,1.2,3,
DV,1,1.2,4,
DV,1,1.2,22,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,29,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,8,
DV,1,1.2,4,
DV,1,1.2,2092,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,24,
DV,1,1.2,2,
DV,1,1.2,18,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,30,
DV,1,1.2,2,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,18,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,90,
DV,1,1.2,22,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,24,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,56,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,13,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,3,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,150,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,677,
DV,1,1.2,11,
DV,1,1.2,1,
DV,1,1.2,103,
DV,1,1.2,1,
DV,1,1.2,21,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,21,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,480,
DV,1,1.2,71,
DV,1,1.2,7,
DV,1,1.2,14,
DV,1,1.2,30,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,15,
DV,1,1.2,1,
DV,1,1.2,351,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,24,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,38,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,10,
DV,1,1.2,3,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,150,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,8,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,53,
DV,1,1.2,9,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,52,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,414,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,3,
DV,1,1.2,3,
DV,1,1.2,751,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,18,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,55,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,7,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,2,
DV,1,1.2,36,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,11,
DV,1,1.2,1,
DV,1,1.2,78,
DV,1,1.2,47,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,7,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2746,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,13,
DV,1,1.2,1,
DV,1,1.2,12,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,2,
DV,1,1.2,61,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1352,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,54,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,14,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,6,
DV,1,1.2,1,
DV,1,1.2,57,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,27,
DV,1,1.2,104,
DV,1,1.2,2,
DV,1,1.2,14,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,288,
DV,1,1.2,1,
DV,1,1.2,11,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2007,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,16,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,6,
DV,1,1.2,1,
DV,1,1.2,22,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,10,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,19,
DV,1,1.2,6,
DV,1,1.2,1,
DV,1,1.2,14,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,2654,
DV,1,1.2,1,
DV,1,1.2,16,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,2,
DV,1,1.2,78,
DV,1,1.2,5,
DV,1,1.2,925,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,13,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,14,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,64,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,15,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,10,
DV,1,1.2,1,
DV,1,1.2,6,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,12,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,4,
DV,1,1.2,2,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,63,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,267,
DV,1,1.2,14,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,3,
DV,1,1.2,4038,
DV,1,1.2,1,
DV,1,1.2,10,
DV,1,1.2,1,
DV,1,1.2,154,
DV,1,1.2,56,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1179,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,239,
DV,1,1.2,1,
DV,1,1.2,6,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,23,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,10,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,11,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,234,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,6,
DV,1,1.2,12,
DV,1,1.2,68,
DV,1,1.2,28,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,10,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,77,
DV,1,1.2,5,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,386,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,8,
DV,1,1.2,2,
DV,1,1.2,2369,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,14,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,10,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,23,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,48,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,13,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,32,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,304,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,3,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,72,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,230,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,122,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,2,
DV,1,1.2,15,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,152,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,125,
DV,1,1.2,213,
DV,1,1.2,3,
DV,1,1.2,25,
DV,1,1.2,2,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,125,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,867,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,6,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,289,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,4,
DV,1,1.2,30,
DV,1,1.2,53,
DV,1,1.2,2,
DV,1,1.2,23,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,22,
DV,1,1.2,11,
DV,1,1.2,52,
DV,1,1.2,2972,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,37,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,475,
DV,1,1.2,661,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,7974,
DV,1,1.2,26413,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,7,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,3,
DV,1,1.7,25,
DV,1,1.7,455,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,2,
DV,1,1.7,7,
DV,1,1.7,3,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,3,
DV,1,1.7,1,
DV,1,1.7,17,
DV,1,1.7,22,
DV,1,1.7,2,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,20,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,4,
DV,1,1.7,36,
DV,1,1.7,2,
DV,1,1.7,3,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,6,
DV,1,1.7,3,
DV,1,1.7,12,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,15,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,7,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,5,
DV,1,1.7,1,
DV,1,1.7,73,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,11,
DV,1,1.7,1,
DV,1,1.7,7,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,920,
DV,1,1.7,1021,
DV,1,1.7,4,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,400,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,76,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,5,
DV,1,1.7,1,
DV,1,1.7,4,
DV,1,1.7,5,
DV,1,1.7,1,
DV,1,1.7,19,
DV,1,1.7,2,
DV,1,1.7,3,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,48,
DV,1,1.7,5,
DV,1,1.7,1,
DV,1,1.7,969,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,92,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,8,
DV,1,1.7,7173,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,59,
DV,1,1.7,132,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,7,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,5,
DV,1,1.7,1,
DV,1,1.7,141,
DV,1,1.7,1,
DV,1,1.7,5,
DV,1,1.7,2,
DV,1,1.7,23,
DV,1,1.7,42,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,33,
DV,1,1.7,1,
DV,1,1.7,84,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,6,
DV,1,1.7,1,
DV,1,1.7,4,
DV,1,1.7,109,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,8,
DV,1,1.7,5,
DV,1,1.7,3,
DV,1,1.7,1,
DV,1,1.7,148,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,4,
DV,1,1.7,1,
DV,1,1.7,25,
DV,1,1.7,2,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,3491,
DV,1,1.7,4,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,20,
DV,1,1.7,1,
DV,1,1.7,3,
DV,1,1.7,3,
DV,1,1.7,1,
DV,1,1.7,7,
DV,1,1.7,12,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,9,
DV,1,1.7,2,
DV,1,1.7,114,
DV,1,1.7,1,
DV,1,1.7,21,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,2,
DV,1,1.7,2,
DV,1,1.7,6,
DV,1,1.7,3,
DV,1,1.7,11,
DV,1,1.7,1,
DV,1,1.7,3,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,1,
DV,1,1.7,3385,
DV,1,1.7,110,
DV,1,1.7,1,
DV,1,1.7,188,
DV,1,1.7,1,
DV,1,1.7,2,
DV,1,1.7,2,
DV,1,1.7,1,
DV,1,1.7,1,
